


## Group 6 — Mixed C
veuillez | please (formal)
ai-je | do I have?
a-t-elle | does she have?
fut | was (literary past)
le cas | case
la vie | life
les rêves | dreams
propre | own / clean
troisième | third
quelle | which / what (fem.)
réveillé | awake
seulement | only
pour la vie | for life
la minute | minute
extérieur | exterior
mieux | better
entière | entire (fem.)
long | long
assise | seated (fem.)
rêves sans fin | dreams without end
minute très longue | very long minute

## Group 7 — Mixed D
avorter | to abort
empêcher | to prevent
regardai | I looked
réveiller | to wake up
le morceau | piece
le choc | shock
l'espace | space
l'entraînement | training
les informations | information
l'avortement | abortion
les côtés | sides
la viabilité | viability
ça | that / it
ceux | those
depuis | since / from
pourtant | yet / however
étroit | narrow
depuis l'entraînement | since training
pourtant ça va | yet it's okay
choc très fort | very strong shock
morceau tout petit | very small piece

## Group 8 — Mixed E
faisant | doing
entendais | was hearing
remarquai | I noticed
survivre | to survive
la sorte | sort
l'accident | accident
la force | strength
le psychologue | psychologist
les cendres | ashes
voilà la pièce | here is the piece
à la force | with force
s'étaient | had been (themselves)
l'ingénieur | engineer
la thérapie | therapy
scientifiques | scientific
impossible | impossible
complexes | complex
humain | human
accident très grave | very serious accident
force brute | brute force

## Group 9 — Mixed F
sauver | to save
notre | our
cet | this (masc.)
là | there
donné | given
pleine | full (fem.)
potentiel | potential
façon | way (manner)
là-bas | over there
étrangement | strangely
suffisamment | sufficiently
là-bas, aux côtés | over there, by the sides
de façon suffisante | in a sufficient way
qu'un | than a (only a)
qu'une | than one (only one, fem)
circonstances | circumstances
petits | small (masc. pl.)
nécessaires | necessary
plus qu'une minute | more than one minute
plus qu'un cas | more than one case
potentiel énorme | huge potential
façon bizarre | weird way

