# Lesson Groups (French | English)

## Group 1 — Nature & Outdoors
faisait | was doing
entendais | was hearing
réveiller | to wake up
remarquai | I noticed
la clairière | the clearing
l'endroit | the place
la rampe | the ramp
la bâche | the tarp
les bâches | the tarps
la colonne | the column
les coudes | the elbows
la vue | the view / sight
la poitrine | the chest
les jours | the days
les semaines | the weeks
la douzaine | the dozen
la voisine | the neighbor (female)
afin | in order to
grâce | thanks to
loin | far
proche | near
à la vue | at the sight

## Group 2 — Emotions & States
importe | it matters
appris | learned
compris | understood
entendu | heard
la conscience | the awareness / conscience
la confiance | the confidence / trust
le ressenti | the feeling
l'impression | the impression / feeling
l'équilibre | the balance
la sécurité | the safety / security
la forme | the shape / form
la chance | luck / chance
la partie | the part
la séquence | the sequence
la mesure | the measure
la nourriture | the food
la phase | the phase
les personnes | the people
plusieurs | several
toutes | all (feminine plural)
utile | useful
conçus | designed
nécessaires | necessary

## Group 3 — Space & Science
fonctionne | works / functions
survivre | to survive
consiste | consists (in/of)
signifie | means
la fusée | the rocket
le lancement | the launch
les vaisseaux | the vessels
les blastocystes | the blastocysts
les ingénieurs | the engineers
le processus | the process
la procédure | the procedure
le domaine | the field / domain
les ressources | the resources
les risques | the risks
l'expansion | the expansion
la mission | the mission
depuis | since / from
lorsque | when
au-delà | beyond
simple | simple
connu | known
immédiatement | immediately

## Group 4 — Mixed A
serait | would be
pourrait | could
puisse | may / can (subj.)
garder | to keep
la pièce | the piece / room
les pièces | the pieces / rooms
les milliers | the thousands
l'instant | the moment
le passage | the passage
la veille | the day before / the eve
le verre | the glass
les épaules | the shoulders
le doigt | the finger
le pouce | the thumb
voilà | here is / there you go
à | to / at
quel | which / what
lequel | which one
chimiques | chemical
précis | precise
à quel point | to what extent
lequel choisir | which one to choose

## Group 5 — Mixed B
aurais | I would have
aurait | he/she would have
seraient | they would be
tourné | turned
la chance | luck / chance
la partie | the part
la séquence | the sequence
le terme | the term
l'existence | the existence
l'état | the state
l'histoire | the story / history
le commandement | the command / leadership
l'ensemble | the whole / ensemble
précédente | previous
large | wide
grâce | thanks to
afin | in order to
respirant | breathable
étrange | strange
grâce à l'ensemble | thanks to the whole
afin de respirer | in order to breathe

## Group 6 — Mixed C
veuillez | please (formal)
ai-je | do I have? / have I?
a-t-elle | does she have? / has she?
fut | was (literary past)
la douzaine | the dozen
les jours | the days
les semaines | the weeks
les groupes | the groups
le cas | the case
la vie | life
la poitrine | the chest
la sorte | the kind / sort
la nourriture | the food
la phase | the phase
la mesure | the measure
les personnes | the people
les rêves | the dreams
propre | own / clean
troisième | third
quelle | which / what (fem.)
réveillé | awake
seulement | only
pour la vie | for life

## Group 7 — Mixed D
avorter | to abort
empêcher | to prevent
regardai | I looked
réveiller | to wake up
la bâche | the tarp
le morceau | the piece / bit
le choc | the shock / impact
l'espace | space
l'entraînement | training
les informations | the information
l'avortement | abortion
les côtés | the sides
la viabilité | the viability
la conscience | awareness / conscience
ça | that / it
ceux | those
depuis | since / from
pourtant | yet / however
étroit | narrow
depuis l'entraînement | since training
pourtant ça va | yet it's okay

## Group 8 — Mixed E
faisant | doing
entendais | was hearing
remarquai | I noticed
survivre | to survive
la veille | the day before / eve
la sorte | the kind / sort
l'accident | the accident
le domaine | the field / domain
la force | the strength
le psychologue | the psychologist
la forme | the shape / form
le passage | the passage
la pièce | the piece / room
les pièces | the pieces / rooms
les milliers | the thousands
l'instant | the moment
les cendres | the ashes
les ressources | the resources
à | to / at
voilà | here is / there you go
voilà la pièce | here is the piece
à la force | by strength / with force

## Group 9 — Mixed F
sauver | to save
le morceau | the piece / bit
le choc | the shock / impact
l'entraînement | training
les informations | the information
les côtés | the sides
la viabilité | the viability
le verre | the glass
le psychologue | the psychologist
la séquence | the sequence
notre | our
cet | this (masc.)
là | there
donné | given
pleine | full (fem.)
potentiel | potential
façon | way / manner
là-bas | over there
étrangement | strangely
suffisamment | sufficiently
là-bas, aux côtés | over there, by the sides
de façon suffisante | in a sufficient way

## Group 10 — Mixed G
s'étaient | had (they) been (themselves)
la nourriture | the food
l'ingénieur | the engineer
le ressenti | the feeling
la douzaine | the dozen
la confiance | the confidence / trust
le cas | the case
la minute | the minute
la thérapie | the therapy
qu'un | than a / only a (contextual)
qu'une | than one / only one (fem., contextual)
scientifiques | scientific
long | long
assise | seated (fem.)
extérieur | outside / exterior
mieux | better
impossible | impossible
entière | entire (fem.)
complexes | complex
humain | human
plus qu'une minute | more than one minute
plus qu'un cas | more than one case
